Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,290.820007,290.859985,289.029999,289.339996,283.728027,68244000
2018-09-18,289.579987,291.579987,289.549988,290.910004,285.267639,61930400
2018-09-19,290.970001,291.690002,290.829987,291.220001,285.571625,49080600
2018-09-20,292.640015,293.940002,291.239990,293.579987,287.885834,100360600
2018-09-21,293.089996,293.220001,291.809998,291.989990,287.622803,105479700
2018-09-24,291.339996,291.500000,290.369995,291.019989,286.667328,53409600
2018-09-25,291.529999,291.649994,290.480011,290.750000,286.401337,44370000
2018-09-26,290.910004,292.239990,289.410004,289.880005,285.544403,79739700
2018-09-27,290.410004,291.910004,290.100006,290.690002,286.342255,59249500
2018-09-28,289.989990,291.279999,289.950012,290.720001,286.371826,70091400
2018-10-01,292.109985,292.929993,290.980011,291.730011,287.366730,62078900
2018-10-02,291.559998,292.359985,291.140015,291.559998,287.199249,47258200
2018-10-03,292.739990,293.209991,291.320007,291.720001,287.356873,64694600
2018-10-04,291.179993,291.239990,287.660004,289.440002,285.110962,111545900
2018-10-05,289.690002,290.269989,286.220001,287.820007,283.515167,105951700
2018-10-08,287.049988,288.220001,285.500000,287.820007,283.515167,87742200
2018-10-09,287.390015,288.859985,286.769989,287.399994,283.101440,74339000
2018-10-10,286.829987,286.910004,277.880005,278.299988,274.137573,214731000
2018-10-11,277.079987,278.899994,270.359985,272.170013,268.099274,274840500
2018-10-12,276.769989,277.089996,272.369995,275.950012,271.822754,183186500
2018-10-15,275.549988,277.040009,274.299988,274.399994,270.295898,102263700
2018-10-16,276.600006,280.820007,276.070007,280.399994,276.206146,118255800
2018-10-17,280.440002,281.149994,277.559998,280.450012,276.255432,110626000
2018-10-18,279.399994,280.070007,274.970001,276.399994,272.265991,134557500
2018-10-19,277.130005,279.299988,275.470001,276.250000,272.118256,139901600
2018-10-22,277.000000,277.359985,274.410004,275.010010,270.896759,82415800
2018-10-23,270.950012,274.869995,268.609985,273.609985,269.517700,146352700
2018-10-24,273.329987,273.760010,264.700012,265.320007,261.351746,177806700
2018-10-25,267.380005,271.809998,266.230011,270.079987,266.040497,138061500
2018-10-26,265.920013,271.000000,262.290009,265.329987,261.361542,201574600
2018-10-29,268.799988,270.250000,259.850006,263.859985,259.913544,160749100
2018-10-30,263.670013,268.119995,263.119995,267.769989,263.765076,157116000
2018-10-31,270.649994,273.230011,270.119995,270.630005,266.582306,128296300
2018-11-01,271.600006,273.730011,270.380005,273.510010,269.419220,99495000
2018-11-02,274.750000,275.230011,269.589996,271.890015,267.823456,122634100
2018-11-05,272.440002,274.010010,271.350006,273.390015,269.301056,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,271.005127,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,276.807037,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,276.304688,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,273.605652,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,268.493286,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,267.990906,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,266.158722,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,268.936523,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,269.635925,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,265.075195,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,260.169647,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,261.056183,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,259.312683,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,263.499084,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,264.385651,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,270.473206,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,269.882172,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,271.527222,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,275.122589,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,266.207977,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,265.804108,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,259.627899,161018900
2018-12-10,263.369995,265.160004,258.619995,264.070007,260.120422,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,260.179504,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,261.489624,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,261.400940,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,256.574249,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,251.540680,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,251.264862,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,247.501999,214992800
2018-12-20,249.860001,251.619995,244.649994,247.169998,243.473175,252053400
2018-12-21,246.740005,249.710007,239.979996,240.699997,238.484512,255345600
2018-12-24,239.039993,240.839996,234.270004,234.339996,232.183060,147311600
2018-12-26,235.970001,246.179993,233.759995,246.179993,243.914063,218485400
2018-12-27,242.570007,248.289993,238.960007,248.070007,245.786697,186267300
2018-12-28,249.580002,251.399994,246.449997,247.750000,245.469635,153100200
2018-12-31,249.559998,250.190002,247.470001,249.919998,247.619644,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,247.877258,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,241.962219,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,250.066925,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,252.038620,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,254.406601,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,255.595551,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,256.497192,96823900
